volume_id,book_id,chapter_id,verse_id,volume_title,book_title,volume_long_title,book_long_title,volume_subtitle,book_subtitle,volume_short_title,book_short_title,volume_lds_url,book_lds_url,chapter_number,verse_number,scripture_text,verse_title,verse_short_title,saved
2,43,1007,26491,New Testament,John,The New Testament,The Gospel According to St John,Of our Lord and Saviour Jesus Christ,,NT,John,nt,john,10,9,"I am the door: by me if any man enter in, he shall be saved, and shall go in and out, and find pasture.",John 10:9,John 10:9,1
2,43,1002,26245,New Testament,John,The New Testament,The Gospel According to St John,Of our Lord and Saviour Jesus Christ,,NT,John,nt,john,5,34,"But I receive not testimony from man: but these things I say, that ye might be saved.",John 5:34,John 5:34,1
2,43,1000,26138,New Testament,John,The New Testament,The Gospel According to St John,Of our Lord and Saviour Jesus Christ,,NT,John,nt,john,3,17,For God sent not his Son into the world to condemn the world; but that the world through him might be saved.,John 3:17,John 3:17,1
2,44,1033,27444,New Testament,Acts,The New Testament,The Acts of the Apostles,Of our Lord and Saviour Jesus Christ,,NT,Acts,nt,acts,15,1,"And certain men which came down from Judaea taught the brethren, and said, Except ye be circumcised after the manner of Moses, ye cannot be saved.",Acts 15:1,Acts 15:1,1
2,44,1033,27454,New Testament,Acts,The New Testament,The Acts of the Apostles,Of our Lord and Saviour Jesus Christ,,NT,Acts,nt,acts,15,11,"But we believe that through the grace of the Lord Jesus Christ we shall be saved, even as they.",Acts 15:11,Acts 15:11,1
2,44,1034,27514,New Testament,Acts,The New Testament,The Acts of the Apostles,Of our Lord and Saviour Jesus Christ,,NT,Acts,nt,acts,16,30,"And brought them out, and said, Sirs, what must I do to be saved?",Acts 16:30,Acts 16:30,1
2,44,1034,27515,New Testament,Acts,The New Testament,The Acts of the Apostles,Of our Lord and Saviour Jesus Christ,,NT,Acts,nt,acts,16,31,"And they said, Believe on the Lord Jesus Christ, and thou shalt be saved, and thy house.",Acts 16:31,Acts 16:31,1
2,44,1045,27876,New Testament,Acts,The New Testament,The Acts of the Apostles,Of our Lord and Saviour Jesus Christ,,NT,Acts,nt,acts,27,20,"And when neither sun nor stars in many days appeared, and no small tempest lay on us, all hope that we should be saved was then taken away.",Acts 27:20,Acts 27:20,1
2,44,1045,27887,New Testament,Acts,The New Testament,The Acts of the Apostles,Of our Lord and Saviour Jesus Christ,,NT,Acts,nt,acts,27,31,"Paul said to the centurion and to the soldiers, Except these abide in the ship, ye cannot be saved.",Acts 27:31,Acts 27:31,1
2,44,1020,26971,New Testament,Acts,The New Testament,The Acts of the Apostles,Of our Lord and Saviour Jesus Christ,,NT,Acts,nt,acts,2,21,"And it shall come to pass, that whosoever shall call on the name of the Lord shall be saved.",Acts 2:21,Acts 2:21,1
